id,latin,japanese,feature,primary_mapping,register,status,key_morphology,notes
LAT-001,"Calorem ab aqua ad aerem transfer.","熱を水から空気へ移せ。","thermal transfer","Transfer<Energy,mode=Thermal>","technical Latin","canonical","calorem=acc.sg; ab aqua=ab+abl.sg; ad aerem=ad+acc.sg; transfer=imperative","Heat is not a conserved quantity kind; elaborate to Energy/Thermal."
LAT-002,"Canalem energiae a fonte ad globum aperi.","エネルギーのチャネルを源から球へ開け。","channel creation","Channel<Energy>","Neo-Latin technical","canonical","canalem=acc.sg; energiae=gen.sg; a fonte=a+abl.sg; ad globum=ad+acc.sg; aperi=imperative","energia is technical/Neo-Latin."
LAT-003,"Quantitatem motus a terra ad lapidem transfer.","運動量を地面から石へ移せ。","momentum transfer","Transfer<Momentum>","17th-century-flavoured technical Latin","canonical","quantitatem=acc.sg; motus=gen.sg; a terra=a+abl.sg; ad lapidem=ad+acc.sg; transfer=imperative","quantitas motus is preferred to equating impetus directly with modern momentum."
LAT-004,"Moleculas aquae in structuram crystallinam compone.","水の分子を結晶構造へ組み替えよ。","structural reconfiguration","RECONFIGURE","Neo-Latin scientific","provisional","moleculas=acc.pl; aquae=gen.sg; in structuram crystallinam=in+acc.sg; compone=imperative","molecula is scientific/Neo-Latin terminology."
LAT-005,"Formam sphaericam globi serva.","球の球形を維持せよ。","shape maintenance","CONSTRAIN","technical Latin","provisional","formam=acc.sg; sphaericam=acc.sg agreement; globi=gen.sg; serva=imperative","Earlier example; persistent constraints are preferably expressed with prescriptive subjunctive in strict Magical Latin."
LAT-006,"Globus intra circulum maneat.","球は円内に留まるものとする。","persistent constraint","CONSTRAIN","technical Latin","canonical","globus=nom.sg; intra circulum=intra+acc.sg; maneat=pres.subj.3sg","Canonical subjunctive constraint example."
LAT-007,"Globum intra circulum move.","球を円内へ動かせ。","one-shot movement","high-level MOVE -> transfer/control","technical Latin","canonical","globum=acc.sg; intra circulum=intra+acc.sg; move=imperative","MOVE is a high-level library operation, not an MKI primitive."
LAT-008,"Nullum corpus externum limen transeat.","外部物体は境界を越えてはならない。","barrier constraint","CONSTRAIN","technical Latin","canonical","nullum corpus externum=nom.sg.neut; limen=acc.sg; transeat=pres.subj.3sg","Persistent prohibition / barrier predicate."
LAT-009,"Hunc lapidem designa.","この石を指定せよ。","target resolution","RESOLVE","technical Latin","canonical","hunc=acc.sg.masc; lapidem=acc.sg; designa=imperative","Produces an early-bound Ref when stored."
LAT-010,"Temperaturam huius lapidis observa.","この石の温度を観測せよ。","observation","OBSERVE","Neo-Latin scientific","canonical","temperaturam=acc.sg; huius=gen.sg; lapidis=gen.sg; observa=imperative","Temperature is observable but not transferable as a conserved quantity."
LAT-011,"Hunc globum mihi reserva.","この球を私のために確保せよ。","reservation / lease acquisition","ACQUIRE-like high-level operation","technical Latin","provisional","hunc globum=acc.sg; mihi=dat.sg; reserva=imperative","Maps to a lease/reservation abstraction rather than a physical MKI operation."
LAT-012,"Nexum energiae constitue.","エネルギーの接続を確立せよ。","connection establishment","CHANNEL-like high-level operation","Neo-Latin technical","provisional","nexum=acc.sg; energiae=gen.sg; constitue=imperative","nexum is used as a technical connection term."
LAT-013,"Mutationem committe.","変更をコミットせよ。","commit","COMMIT","technical Latin","provisional","mutationem=acc.sg; committe=imperative","Technical semantic extension of committo."
LAT-014,"Hunc nexum solve.","この接続を解け。","revocation / disconnect","REVOKE","technical Latin","canonical","hunc=acc.sg.masc; nexum=acc.sg; solve=imperative","Control-plane revocation example."
LAT-015,"Nemo praeter dominum hunc nexum mutet.","所有者以外はこの接続を変更してはならない。","permission rule","ACL / authority constraint","technical Latin","canonical","nemo=nom.sg; praeter dominum=praeter+acc.sg; hunc nexum=acc.sg; mutet=pres.subj.3sg","Persistent authorization rule."
LAT-016,"Finem nexus ad auctorem converte.","接続の終端を起点となる術者へ向け直せ。","endpoint redirection","binding/channel rewrite","technical Latin","canonical","finem=acc.sg; nexus=gen.sg; ad auctorem=ad+acc.sg; converte=imperative","nexus is formally ambiguous in isolation; frame/context must resolve it."
LAT-017,"Aquam in structuram crystallinam compone.","水を結晶構造へ組み替えよ。","phase/structure reconfiguration","RECONFIGURE","technical Latin","canonical","aquam=acc.sg; in structuram crystallinam=in+acc.sg; compone=imperative","Requires separate energy balance handling."
